"","estimator","n","MSE"
"1","MAGIC",100,3.90832187248277e-07
"2","RLTMLE 2",100,3.70391658828058e-11
"3","RLTMLE 1",100,1.08189812133289e-07
"4","WDR",100,8.95533886912101e-08
"5","MAGIC",200,3.04831024266939e-07
"6","RLTMLE 2",200,3.01289124419719e-11
"7","RLTMLE 1",200,3.54430898663796e-08
"8","WDR",200,1.40015657257284e-07
"9","MAGIC",500,1.56723448059491e-07
"10","RLTMLE 2",500,2.86426146361943e-11
"11","RLTMLE 1",500,4.0311823764262e-09
"12","WDR",500,1.14539514262315e-07
